customer_id|loan_type|amount_utilized|utilization_date|loan_reason
CUST051976|Medical Loan|805000|2025-04-29|We are awaiting your confirmation that the project deliverables are submitted by the upcoming deadline
CUST005217|Loan Against Deposit|36000|2024-09-01|It would be awesome if we could try that new pizza place everyone keeps recommending
CUST007520|Business Loan|96000|2024-10-13|I am writing to follow up that the revised contract terms are reviewed and accepted
CUST041939|Business Loan|761000|2025-01-13|You should definitely join we could try that new pizza place everyone keeps recommending
CUST032155|Education Loan|884000|2024-10-04|Thank you for your attention that all compliance requirements have been successfully met
CUST017969|Medical Loan|894000|2024-09-26|The requested documents have been prepared and that the scheduled timeline for the project remains unchanged
CUST068833|Education Loan|589000|2024-09-20|It would be awesome if we could grab dinner sometime this week and catch up properly
CUST075651|Auto Loan|977000|2024-11-19|The requested documents have been prepared and that the scheduled timeline for the project remains unchanged
CUST098969|Auto Loan|892000|2024-07-05|It would be awesome if we could go for a hike if the weather stays good
CUST056205|Home Loan|562000|2024-09-19|I am writing to follow up that your valuable feedback is shared with the broader management team
CUST041421|Credit Card Loan|658000|2025-03-26|Hey I was thinking we could hang out by the beach before it gets colder again
CUST067360|Credit Card Loan|776000|2025-01-15|I finally got time to we could grab dinner sometime this week and catch up properly
CUST018048|Auto Loan|51000|2025-05-06|You should definitely join we could go for a hike if the weather stays good
CUST067655|Auto Loan|580000|2025-03-27|We seriously need to we could host a small get-together at my place this weekend
CUST086830|Personal Loan|394000|2024-09-28|It would be greatly appreciated if that all compliance requirements have been successfully met
CUST038834|Loan Against Deposit|806000|2025-03-05|We should arrange a meeting that the revised contract terms are reviewed and accepted
CUST016415|Home Loan|739000|2025-03-10|Thinking we should we could start working on that project idea we joked about earlier
CUST014954|Travel Loan|409000|2025-02-09|Let me know if we could hang out by the beach before it gets colder again
CUST051301|Travel Loan|88000|2024-09-03|We should arrange a meeting that the revised contract terms are reviewed and accepted
CUST004803|Home Loan|119000|2025-02-15|Just wanted to say we could go on a spontaneous road trip without much planning
CUST045173|Home Loan|221000|2025-03-21|Let me know if we could spend a lazy Sunday just binge-watching old shows
CUST073833|Medical Loan|69000|2024-10-26|I finally got time to we could spend a lazy Sunday just binge-watching old shows
CUST098873|Education Loan|552000|2025-01-16|I am writing to follow up that the project deliverables are submitted by the upcoming deadline
CUST009819|Personal Loan|24000|2024-10-11|I am writing to follow up that we maintain open communication during the implementation period
CUST059934|Loan Against Deposit|905000|2024-06-14|Please ensure that that the invoice details are correctly reflected in your records
CUST021311|Personal Loan|590000|2024-11-30|Maybe we can plan something we could hang out by the beach before it gets colder again
CUST068118|Travel Loan|423000|2024-11-17|Please ensure that that your comments are incorporated into the final version of the agreement
