ticket_id,customer_id,complaint_category,complaint_date,severity
TICKET000001,CUST074286,Card Not Working,2025-03-14,10
TICKET000002,CUST071899,ATM Withdrawal Failed,2024-07-13,0
TICKET000003,CUST019962,Incorrect Charges,2025-02-11,5
TICKET000004,CUST096628,Incorrect Charges,2024-06-08,8
TICKET000005,CUST080211,Unauthorized Transaction,2024-08-21,6
TICKET000006,CUST048285,Account Locked,2024-07-18,5
TICKET000007,CUST068471,Delayed Refund,2025-04-03,0
TICKET000008,CUST082753,ATM Withdrawal Failed,2024-08-19,10
TICKET000009,CUST058523,Account Locked,2024-10-24,8
TICKET000010,CUST067477,KYC Verification Delay,2024-12-17,1
TICKET000011,CUST060165,ATM Withdrawal Failed,2024-10-22,6
TICKET000012,CUST087409,Account Locked,2024-09-24,7
TICKET000013,CUST004692,Card Not Working,2024-11-24,3
TICKET000014,CUST024251,KYC Verification Delay,2025-01-13,5
TICKET000015,CUST012822,ATM Withdrawal Failed,2024-07-15,4
TICKET000016,CUST040966,Incorrect Charges,2025-02-28,9
TICKET000017,CUST056846,Poor Customer Service,2024-05-17,3
TICKET000018,CUST086147,Poor Customer Service,2025-01-17,9
TICKET000019,CUST026162,Poor Customer Service,2025-02-14,10
TICKET000020,CUST037863,Card Not Working,2025-04-15,8
TICKET000021,CUST019415,KYC Verification Delay,2024-09-20,6
TICKET000022,CUST043713,Card Not Working,2024-12-02,8
TICKET000023,CUST001999,Loan Application Rejected,2024-08-21,10
TICKET000024,CUST057280,Delayed Refund,2024-10-05,7
TICKET000025,CUST075747,Unauthorized Transaction,2025-02-07,10
TICKET000026,CUST074885,KYC Verification Delay,2024-10-12,7
TICKET000027,CUST038149,Card Not Working,2024-06-30,6
TICKET000028,CUST079264,Incorrect Charges,2025-03-14,9
TICKET000029,CUST074934,Delayed Refund,2024-12-07,10
TICKET000030,CUST070804,Unauthorized Transaction,2024-07-31,3
TICKET000031,CUST069381,KYC Verification Delay,2024-07-03,10
TICKET000032,CUST050840,Incorrect Charges,2024-06-17,2
TICKET000033,CUST007999,ATM Withdrawal Failed,2025-03-05,4
TICKET000034,CUST064848,Poor Customer Service,2024-07-29,4
TICKET000035,CUST026739,Mobile App Issues,2024-07-28,7
TICKET000036,CUST035604,ATM Withdrawal Failed,2024-10-18,10
TICKET000037,CUST085278,Card Not Working,2024-07-18,8
TICKET000038,CUST076357,Mobile App Issues,2024-12-21,0
TICKET000039,CUST015438,Loan Application Rejected,2024-11-15,7
TICKET000040,CUST014858,Account Locked,2024-10-08,2
TICKET000041,CUST001527,Unauthorized Transaction,2024-09-23,9
TICKET000042,CUST061949,KYC Verification Delay,2025-02-05,1
TICKET000043,CUST019445,Card Not Working,2025-04-09,2
TICKET000044,CUST099730,Mobile App Issues,2025-01-12,4
TICKET000045,CUST060078,Mobile App Issues,2024-11-20,1
TICKET000046,CUST087073,Account Locked,2025-04-05,5
TICKET000047,CUST027554,Mobile App Issues,2024-11-03,3
TICKET000048,CUST052193,Incorrect Charges,2024-08-22,9
TICKET000049,CUST075497,Poor Customer Service,2025-02-09,0
TICKET000050,CUST013290,Card Not Working,2024-12-09,10
TICKET000051,CUST060683,KYC Verification Delay,2024-09-20,4
TICKET000052,CUST037807,Delayed Refund,2024-10-28,8
TICKET000053,CUST064974,Poor Customer Service,2024-05-14,7
TICKET000054,CUST041289,Incorrect Charges,2024-08-05,10
TICKET000055,CUST093682,Delayed Refund,2024-10-03,7
TICKET000056,CUST028243,KYC Verification Delay,2024-09-06,5
TICKET000057,CUST099377,Account Locked,2024-11-29,1
TICKET000058,CUST017095,Account Locked,2024-06-20,10
TICKET000059,CUST037409,Unauthorized Transaction,2024-11-26,6
TICKET000060,CUST026150,Delayed Refund,2024-06-12,0
TICKET000061,CUST009259,ATM Withdrawal Failed,2025-04-10,1
TICKET000062,CUST025471,Incorrect Charges,2025-01-27,6
TICKET000063,CUST024112,Poor Customer Service,2024-08-25,1
TICKET000064,CUST058290,KYC Verification Delay,2024-08-02,4
TICKET000065,CUST065105,ATM Withdrawal Failed,2024-05-25,2
TICKET000066,CUST011455,Loan Application Rejected,2025-05-03,0
TICKET000067,CUST047147,Incorrect Charges,2025-01-30,8
TICKET000068,CUST045841,KYC Verification Delay,2024-11-04,7
